,Ticker,2017,2018,2019,2020
0,AAON,53830000.0,42329000.0,53711000.0,79009000.0
1,ABTX,17632000.0,37309000.0,52959000.0,45534000.0
2,ACGL,619278000.0,757971000.0,1636319000.0,1405521000.0
3,ADBE,1693954000.0,2591000000.0,2951000000.0,5260000000.0
4,ADP,1884900000.0,2292800000.0,2466500000.0,2598500000.0
5,ADV,386405000.0,-1157332000.0,-21172000.0,-162443000.0
6,AFYA,45393000.0,86353000.0,153916000.0,292075000.0
7,AGYS,-8350000.0,-13164000.0,-34067000.0,-21001000.0
8,AIMC,51400000.0,35300000.0,127200000.0,-25500000.0
9,ALTA,19846000.0,40632000.0,44324000.0,43502000.0
10,APR,96951000.0,13127000.0,15622000.0,46139000.0
11,AVGO,1692000000.0,12259000000.0,2724000000.0,2960000000.0
12,AVID,-13555000.0,-10674000.0,7601000.0,11062000.0
13,AZPN,179386000.0,281234000.0,261362000.0,229671000.0
14,BFST,4848000.0,14091000.0,23772000.0,29994000.0
15,BL,-33408000.0,-28714000.0,-32535000.0,-46911000.0
16,CACC,470200000.0,574000000.0,656100000.0,421000000.0
17,CARG,13199000.0,65170000.0,42146000.0,77553000.0
18,CDNS,204101000.0,345777000.0,988979000.0,590644000.0
19,CENT,78828000.0,123594000.0,92786000.0,120676000.0
20,CENTA,78828000.0,123594000.0,92786000.0,120676000.0
21,CHX,109589000.0,92737000.0,52164000.0,-743930000.0
22,CINF,1045000000.0,287000000.0,1997000000.0,1216000000.0
23,CME,4063400000.0,1962200000.0,2116500000.0,2105200000.0
24,CMPR,-71711000.0,43733000.0,95052000.0,83365000.0
25,COUP,-43805000.0,-55524000.0,-90832000.0,-180117000.0
26,CPSI,-17416000.0,17632000.0,20468000.0,14246000.0
27,CPSS,3765000.0,14862000.0,5406000.0,21677000.0
28,CRESY,-624000000.0,6106000000.0,-26796000000.0,3929000000.0
29,CSGP,122695000.0,238334000.0,314963000.0,227128000.0
30,CTAS,480708000.0,842586000.0,884981000.0,876037000.0
31,CTRE,25874000.0,57923000.0,46359000.0,80867000.0
32,DBX,-111700000.0,-484900000.0,-52700000.0,-256300000.0
33,DCOM,72514000.0,51882000.0,51288000.0,36186000.0
34,DLHC,3288000.0,1836000.0,5324000.0,7114000.0
35,DSGX,26879000.0,31277000.0,36997000.0,52100000.0
36,DSKE,27000000.0,-5200000.0,-307400000.0,6200000.0
37,DXCM,-50200000.0,-127100000.0,101100000.0,493600000.0
38,ECPG,83228000.0,115886000.0,167869000.0,211848000.0
39,EGAN,-6020000.0,-1991000.0,4168000.0,7208000.0
40,ENTG,85066000.0,240755000.0,254860000.0,294969000.0
41,ESXB,7203000.0,13688000.0,15705000.0,15548000.0
42,ETSY,81800000.0,77491000.0,95894000.0,349246000.0
43,EXPI,-22130965.0,-22430000.0,-9528000.0,31131000.0
44,FBMS,10616000.0,21225000.0,43745000.0,52505000.0
45,FELE,78180000.0,105877000.0,95483000.0,100460000.0
46,FFWM,27582000.0,42958000.0,56239000.0,84369000.0
47,FISV,1246000000.0,1187000000.0,893000000.0,958000000.0
48,FIVN,-8969000.0,-221000.0,-4552000.0,-42130000.0
49,FOCS,-48359000.0,-590000.0,-12872000.0,28045000.0
50,FORR,15140000.0,15380000.0,-9570000.0,9990000.0
51,FTNT,31400000.0,334900000.0,331700000.0,488500000.0
52,FUNC,5269000.0,10667000.0,13129000.0,13841000.0
53,FVCB,7690000.0,10869000.0,15828000.0,15501000.0
54,GABC,40676000.0,46529000.0,59222000.0,62210000.0
55,HBIO,-865000.0,-2922000.0,-4687000.0,-7810000.0
56,HCKT,27354000.0,23909000.0,23277000.0,5473000.0
57,HHR,400189000.0,949307000.0,1448018000.0,1748960000.0
58,HLIO,31558000.0,46730000.0,60268000.0,14218000.0
59,HLNE,17341000.0,33573000.0,60825000.0,98022000.0
60,HMTV,-13436000.0,-10906000.0,-3367000.0,-1235000.0
61,HTBK,23828000.0,35331000.0,40461000.0,35299000.0
62,HURN,-170117000.0,13646000.0,41743000.0,-23840000.0
63,IART,64743000.0,60801000.0,50201000.0,133892000.0
64,IBKR,76000000.0,169000000.0,161000000.0,195000000.0
65,INMD,8819000.0,22371000.0,61145000.0,75030000.0
66,INSE,-20600000.0,-21098000.0,-41100000.0,-32400000.0
67,INTC,9601000000.0,21053000000.0,21048000000.0,20899000000.0
68,INTU,985000000.0,1329000000.0,1557000000.0,1826000000.0
69,INVA,134143000.0,395056000.0,157288000.0,224402000.0
70,ITRN,43794000.0,60675000.0,6889000.0,16123000.0
71,KNSL,24901000.0,33787000.0,63316000.0,88419000.0
72,LAMR,317676000.0,305232000.0,372111000.0,243386000.0
73,LCUT,2154000.0,-1720000.0,-44415000.0,-3007000.0
74,LFVN,1608000.0,5761000.0,7429000.0,11549000.0
75,LHCG,50112000.0,63574000.0,95726000.0,111596000.0
76,LKQ,533744000.0,480118000.0,541260000.0,638423000.0
77,LMST,38453000.0,8794000.0,10518000.0,9005000.0
78,LOCO,8619000.0,-8994000.0,24900000.0,24474000.0
79,LPLA,238863000.0,439459000.0,559880000.0,472640000.0
80,MCFE,-686000000.0,-512000000.0,-236000000.0,-118000000.0
81,MCHP,255400000.0,355900000.0,570600000.0,349400000.0
82,MDLZ,2828000000.0,3317000000.0,3929000000.0,3555000000.0
83,MLVF,5817000.0,7306000.0,9332000.0,644000.0
84,MNSB,3882210.0,9209000.0,13950000.0,15717000.0
85,MNTV,-24010000.0,-154740000.0,-73859000.0,-91581000.0
86,MPWR,65203000.0,105268000.0,108839000.0,164375000.0
87,MRCY,24875000.0,40883000.0,46775000.0,85712000.0
88,MSFT,16571000000.0,39240000000.0,44281000000.0,61271000000.0
89,NCBS,33150000.0,41036000.0,54641000.0,60122000.0
90,NEOG,43793000.0,63145000.0,60176000.0,59475000.0
91,NMIH,22050000.0,107927000.0,171957000.0,171566000.0
92,NSSC,5599000.0,7649000.0,12223000.0,8520000.0
93,NTES,10707939000.0,6152407000.0,21237516000.0,12062754000.0
94,NVDA,3047000000.0,4141000000.0,2796000000.0,4332000000.0
95,NVEE,24006000.0,26856000.0,23756000.0,21018000.0
96,OCFC,42470000.0,71932000.0,88574000.0,63309000.0
97,OMCL,30518000.0,37729000.0,61338000.0,32194000.0
98,OSIS,21076000.0,-29127000.0,64796000.0,75252000.0
99,OTEX,1025659000.0,242224000.0,285501000.0,234225000.0
100,PLTK,257400000.0,338000000.0,288900000.0,92100000.0
101,PRFT,18581000.0,24559000.0,37125000.0,30181000.0
102,PRGS,29021000.0,49670000.0,26400000.0,79722000.0
103,QCRH,35707000.0,43120000.0,57408000.0,60582000.0
104,QDEL,-8165000.0,74183000.0,72921000.0,810287000.0
105,QNST,15930000.0,62480000.0,18102000.0,23957000.0
106,QRVO,-40288000.0,133125000.0,334325000.0,733611000.0
107,RDWR,-7493000.0,11735000.0,22566000.0,9636000.0
108,SBAC,103654000.0,47451000.0,146991000.0,24104000.0
109,SBFG,11065000.0,11638000.0,11973000.0,14944000.0
110,SBGI,576000000.0,341000000.0,47000000.0,-2414000000.0
111,SBNY,387209000.0,506434000.0,586486000.0,528359000.0
112,SCPL,23100000.0,39000000.0,32400000.0,20900000.0
113,SFM,158440000.0,158536000.0,149629000.0,287450000.0
114,SFNC,92940000.0,215713000.0,238167000.0,254904000.0
