,Ticker,2017,2018,2019,2020,2021,2022
0,AAON,405232000,433947000,469333000,514551000,545000000,589780000
1,ABTX,96341000,132044000,187021000,183465000,238340000,227000000
2,ACGL,5627375000,5450568000,6928200000,8525275000,8958670000,10129100000
3,ADBE,7301505000,9030000000,11171000000,12868000000,15675100000,18030500000
4,ADP,13274200000,14110200000,14589800000,15005400000,16019500000,17030300000
5,ADV,2416927000,3707628000,3785063000,3155671000,3520340000,4039190000
6,AFYA,216008000,333935000,750630000,1201191000,1655480000,2067610000
7,AGYS,127360000,140842000,160757000,137176000,167190000,192590000
8,AIMC,876700000,1175300000,1834100000,1726000000,1912020000,2039640000
9,ALTA,92282000,114682000,118099000,123395000,100290000,107760000
10,APR,1031138000,1079164000,1088875000,1108717000,1137030000,1193420000
11,AVGO,17636000000,20848000000,22597000000,23888000000,27244800000,28818300000
12,AVID,419003000,413282000,411788000,360466000,395490000,432220000
13,AZPN,494427000,507566000,596682000,598717000,709376000,719440000
14,BFST,45753000,67618000,88300000,137775000,183760000,182160000
15,BL,175603000,227788000,288976000,351737000,422060000,510310000
16,CACC,860500000,1072300000,1216400000,920400000,1839970000,1826230000
17,CARG,316861000,454086000,588916000,551451000,822850000,964500000
18,CDNS,1943032000,2138022000,2336319000,2682891000,2951220000,3183650000
19,CENT,2054478000,2215362000,2383010000,2695509000,3286670000,3451470000
20,CENTA,2054478000,2215362000,2383010000,2695509000,3286730000,3451470000
21,CHX,1010466000,1218156000,1131251000,1899996000,2982470000,3293230000
22,CINF,5732000000,5407000000,7924000000,7536000000,8072630000,7428030000
23,CME,3644700000,4309400000,4857800000,4870300000,4821010000,5148490000
24,CMPR,2135405000,2592541000,2751076000,2481358000,2592510000,2853880000
25,COUP,186780000,260366000,389719000,541643000,687240000,856020000
26,CPSI,276927000,280411000,274634000,264488000,279410000,298540000
27,CPSS,153896000,154094000,148102000,184379000,252540000,278660000
28,CRESY,67907000000,93266000000,110741000000,121256000000,848000000,782550000
29,CSGP,965230000,1191832000,1399719000,1659019000,1949620000,2274310000
30,CTAS,5323381000,6476632000,6892303000,7085120000,7621990000,8171000000
31,CTRE,132982000,156941000,163401000,178332000,191260000,204720000
32,DBX,1106800000,1391700000,1661300000,1913900000,2140220000,2336730000
33,DCOM,217302000,173724000,153605000,142249000,362530000,385290000
34,DLHC,115662000,133236000,160391000,209185000,243910000,257000000
35,DSGX,237439000,275171000,325791000,348664000,407700000,456550000
36,DSKE,846300000,1613100000,1737000000,1454100000,1547450000,1626880000
37,DXCM,718500000,1031600000,1476000000,1926700000,2395830000,2918420000
38,ECPG,1145802000,1320557000,1405789000,1501400000,1582700000,1448990000
39,EGAN,58215000,61307000,67232000,72729000,77930000,87100000
40,ENTG,1342532000,1550497000,1591066000,1859313000,2265840000,2516820000
41,ESXB,48082000,51650000,54866000,52994000,62090000,61170000
42,ETSY,441231000,603693000,818379000,1725625000,2279630000,2746890000
43,EXPI,156104544,500148000,979937000,1798285000,3477760000,4662040000
44,FBMS,73017000,103328000,145015000,161574000,157110000,155180000
45,FELE,1124909000,1298129000,1314578000,1247331000,1581530000,1680130000
46,FFWM,149575000,187161000,209093000,244545000,287720000,369620000
47,FISV,5696000000,5823000000,10187000000,14852000000,15435100000,16584000000
48,FIVN,200225000,257664000,328006000,434908000,586270000,714280000
49,FOCS,662887000,910880000,1218341000,1361319000,1739990000,2073500000
50,FORR,337673000,357575000,461697000,448984000,490380000,531510000
51,FTNT,1494900000,1804600000,2163000000,2594400000,3239460000,3793990000
52,FUNC,51384000,57239000,60754000,61722000,69080000,67210000
53,FVCB,33883000,39555000,48889000,50495000,60570000,68610000
54,GABC,130013000,149610000,185401000,192167000,216170000,209720000
55,HBIO,77407000,120774000,116176000,102100000,116490000,126490000
56,HCKT,255131000,264523000,260837000,234810000,270620000,285940000
57,HHR,4732539000,6117773000,7788741000,8282107000,13870700000,17355800000
58,HLIO,342839000,508045000,554665000,523040000,829790000,883240000
59,HLNE,244033000,252179000,274048000,341635000,352260000,400990000
60,HMTV,124464000,147079000,149387000,151184000,195950000,226600000
61,HTBK,111037000,124176000,141210000,138579000,146020000,148670000
62,HURN,732570000,795125000,876757000,844127000,895480000,963240000
63,IART,1188236000,1472441000,1517557000,1371868000,1545370000,1641170000
64,IBKR,1581000000,1922000000,1995000000,2237000000,2850150000,2626920000
65,INMD,53456000,100162000,156361000,206107000,314930000,372000000
66,INSE,141400000,140653000,153400000,199800000,192400000,257810000
67,INTC,62761000000,70848000000,71965000000,77867000000,73590700000,73121300000
68,INTU,5196000000,6025000000,6784000000,7679000000,9633000000,11114400000
69,INVA,217217000,261004000,261016000,336794000,245620000,238150000
70,ITRN,234636000,253335000,279332000,245627000,272950000,305700000
71,KNSL,186776000,222114000,315888000,459886000,605230000,707630000
72,LAMR,1541260000,1627222000,1753644000,1568856000,1730920000,1829360000
73,LCUT,579476000,704542000,734902000,769169000,881070000,901110000
74,LFVN,199489000,203204000,225958000,232915000,220181000,225000000
75,LHCG,1062602000,1809963000,2080241000,2063204000,2238280000,2458320000
76,LKQ,9736909000,11876674000,12506109000,11628830000,12965500000,13427400000
77,LMST,37321000,40342000,41268000,43045000,51000000,49000000
78,LOCO,401701000,435828000,442330000,426087000,467900000,486070000
79,LPLA,4281481000,5188400000,5624856000,5871640000,7707710000,9119790000
80,MCFE,2076000000,2409000000,2635000000,2906000000,1835740000,2036550000
81,MCHP,3980800000,5349500000,5274200000,5438400000,6603790000,7028950000
82,MDLZ,25896000000,25938000000,25868000000,26581000000,28604000000,29746400000
83,MLVF,23886000,28199000,29288000,18910000,31460000,31670000
84,MNSB,21874915,31282000,42680000,49818000,51800000,53000000
85,MNTV,218773000,254324000,307421000,375610000,445820000,533010000
86,MPWR,470929000,582382000,627921000,844452000,1169540000,1365600000
87,MRCY,408588000,493184000,654744000,796610000,923996000,1018020000
88,MSFT,110360000000,125843000000,143015000000,168088000000,191604000000,215969000000
89,NCBS,131056000,144557000,168245000,181664000,148430000,221140000
90,NEOG,358277000,397930000,414186000,418170000,507760000,555500000
91,NMIH,182743000,275025000,378771000,433283000,466770000,546910000
92,NSSC,87374000,91746000,102932000,101359000,108540000,127840000
93,NTES,44437355000,51178575000,59241145000,73667133000,88108000000,102700000000
94,NVDA,9714000000,11716000000,10918000000,16675000000,25737700000,28923100000
95,NVEE,333034000,418081000,508938000,659296000,709560000,754380000
96,OCFC,191845000,271839000,296500000,327473000,300760000,327130000
97,OMCL,712714000,787309000,897027000,892208000,1112110000,1266690000
98,OSIS,960951000,1089286000,1182115000,1166044000,1146900000,1211100000
99,OTEX,2291057000,2815241000,2868755000,3109736000,3386110000,3443700000
100,PLTK,1150800000,1490700000,1887600000,2371500000,2629460000,2841830000
101,PRFT,485261000,498375000,565527000,612133000,734990000,824180000
102,PRGS,389154000,378981000,413298000,442150000,533160000,547190000
103,QCRH,138077000,171278000,223936000,224196000,179590000,183510000
104,QDEL,277743000,522285000,534890000,1661668000,936600000,697490000
105,QNST,404358000,455154000,490339000,578487000,578487000,643340000
106,QRVO,2973536000,3090325000,3239141000,4015307000,4749440000,5107430000
107,RDWR,211369000,234404000,252072000,250027000,280640000,308830000
108,SBAC,1727674000,1865695000,2014645000,2083138000,2287960000,2411880000
109,SBFG,45126000,49352000,53136000,65112000,37500000,35200000
110,SBGI,2636000000,3055000000,4240000000,5943000000,6298310000,6626110000
111,SBNY,1010330000,1187018000,1350672000,1346246000,1966650000,2339430000
112,SCPL,361400000,416200000,465800000,582200000,618540000,643510000
113,SFM,4664612000,5207336000,5634835000,6468759000,6216910000,6663640000
114,SFNC,467302000,658300000,763544000,812919000,782270000,831480000
115,SIVB,1882565000,2551102000,3220624000,3746904000,5514860000,5630560000
116,SMBC,59866000,71705000,83497000,88884000,108370000,108420000
117,SPNS,269194000,289707000,325674000,382903000,464410000,509470000
